sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"1404693224.132","search sourcetype=access_combined_wcookie | top 5 useragent","Greg-HP","1404693224.984805",0,287,1404693225,5,287,completed,"0.782000",,,,,,,,,,,,,,,,,,,
"1404693519.133","search sourcetype=access_combined_wcookie | top 5 clientip","Greg-HP","1404693519.708920",0,287,1404693520,5,287,completed,"0.469000",,,,,,,,,,,,,,,,,,,
"1404693568.134","search sourcetype=access_combined_wcookie | top referer | fields -percent","Greg-HP","1404693568.583805",0,287,1404693568,10,287,completed,"0.437000",,,,,,,,,,,,,,,,,,,
"1404693587.135","search sourcetype=access_combined_wcookie | top referer | fields - percent","Greg-HP","1404693587.787439",0,287,1404693588,10,287,completed,"0.437000",,,,,,,,,,,,,,,,,,,
"1404693618.136","search sourcetype=access_combined_wcookie referer != *MyGizmo* | top referer | fields - percent","Greg-HP","1404693618.800293",0,64,1404693619,3,287,completed,"0.422000",,,,,,,,,,,,,,,,,,,
"1404693650.137","search sourcetype=access_combined_wcookie referer != *MyGizmo* | top referer","Greg-HP","1404693650.936349",0,64,1404693651,3,287,completed,"0.375000",,,,,,,,,,,,,,,,,,,
"1404693708.138","search sourcetype=access_combined_wcookie referer != *MyGizmo* | rare referer","Greg-HP","1404693708.578449",0,64,1404693708,3,287,completed,"0.453000",,,,,,,,,,,,,,,,,,,
"1404694411.141","search sourcetype=access_combined_wcookie status 404","Greg-HP","1404694411.064076",0,0,1404694411,0,0,completed,"0.656000",,,,,,,,,,,,,,,,,,,
"1404694423.142","search sourcetype=access_combined_wcookie status 404 index=mygizmostoreindex","Greg-HP","1404694423.098697",0,0,1404694423,0,0,completed,"0.609000",,,,,,,,,,,,,,,,,,,
"1404694435.143","search sourcetype=access_combined_wcookie status=404 index=mygizmostoreindex","Greg-HP","1404694435.335520",0,663,1404694436,663,673,completed,"2.078000",,,,,,,,,,,,,,,,,,,
"1404694451.144","search sourcetype=access_combined_wcookie status=404","Greg-HP","1404694451.103548",0,30,1404694451,30,30,completed,"0.781000",,,,,,,,,,,,,,,,,,,
"1404694478.145","search sourcetype=access_combined_wcookie status=404 | stats count by host","Greg-HP","1404694478.855996",0,30,1404694479,1,30,completed,"0.437000",,,,,,,,,,,,,,,,,,,
"1404694492.146","search sourcetype=access_combined_wcookie status=404 index=mygizmostoreindex | stats count by host","Greg-HP","1404694492.428020",0,663,1404694492,3,673,completed,"0.453000",,,,,,,,,,,,,,,,,,,
"1404694550.147","search sourcetype=access_combined_wcookie status=404 index=mygizmostoreindex action=purchase | stats count by host","Greg-HP","1404694550.506921",0,24,1404694550,3,116,completed,"0.484000",,,,,,,,,,,,,,,,,,,
"1404694573.148","search sourcetype=access_combined_wcookie status=404 index=mygizmostoreindex action=purchase | stats count by productit","Greg-HP","1404694573.126961",0,24,1404694573,0,116,completed,"0.562000",,,,,,,,,,,,,,,,,,,
"1404694575.149","search sourcetype=access_combined_wcookie status=404 index=mygizmostoreindex action=purchase | stats count by host","Greg-HP","1404694575.451365",0,24,1404694575,3,116,completed,"0.469000",,,,,,,,,,,,,,,,,,,
"1404694581.150","search sourcetype=access_combined_wcookie status=404 index=mygizmostoreindex action=purchase | stats count by productid","Greg-HP","1404694581.238975",0,24,1404694581,0,116,completed,"0.484000",,,,,,,,,,,,,,,,,,,
"1404694591.151","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase | stats count by productid","Greg-HP","1404694591.191792",0,828,1404694591,0,828,completed,"0.469000",,,,,,,,,,,,,,,,,,,
"1404694601.152","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase","Greg-HP","1404694601.456610",0,828,1404694601,828,828,completed,"1.919000",,,,,,,,,,,,,,,,,,,
"1404694613.153","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase | stats count by productid","Greg-HP","1404694613.515431",0,828,1404694613,0,828,completed,"0.593000",,,,,,,,,,,,,,,,,,,
"1404694619.154","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase","Greg-HP","1404694619.661842",0,828,1404694619,828,828,completed,"1.919000",,,,,,,,,,,,,,,,,,,
"1404694642.155","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase | stats count","Greg-HP","1404694642.219481",0,828,1404694642,1,828,completed,"0.531000",,,,,,,,,,,,,,,,,,,
"1404694649.156","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase | stats count by productid","Greg-HP","1404694649.457894",0,828,1404694649,0,828,completed,"0.453000",,,,,,,,,,,,,,,,,,,
"1404694657.157","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase | stats count by host","Greg-HP","1404694657.242308",0,828,1404694657,3,828,completed,"0.422000",,,,,,,,,,,,,,,,,,,
"1404694677.158","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase","Greg-HP","1404694677.725143",0,,,,,,,,,,,,,,,,,,,,,,,,,
"1404694678.159","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase","Greg-HP","1404694678.676745",0,828,1404694679,828,828,completed,"2.294000",,,,,,,,,,,,,,,,,,,
"1404694712.160","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase | stats count by productid","Greg-HP","1404694712.887605",0,828,1404694713,0,828,completed,"0.547000",,,,,,,,,,,,,,,,,,,
"1404694718.161","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase | stats count by host","Greg-HP","1404694718.519214",0,828,1404694718,3,828,completed,"1.186000",,,,,,,,,,,,,,,,,,,
"1404694728.162","search sourcetype=access_combined_wcookie index=mygizmostoreindex action=purchase | stats count by productid","Greg-HP","1404694728.331631",0,828,1404694728,0,828,completed,"0.640000",,,,,,,,,,,,,,,,,,,
"1404694740.163","search index=mygizmostoreindex action=purchase | stats count by productid","Greg-HP","1404694740.764853",0,828,1404694741,0,828,completed,"0.437000",,,,,,,,,,,,,,,,,,,
